都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
徳島,71231,四,蒲生田,ｶﾓﾀﾞ,阿南市椿町蒲生田,33,50.2,134,44.5,10,10,1.5,昭53.1.13,－,－
徳島,71251,四,木頭,ｷﾄｳ,那賀郡那賀町木頭出原クボヲ,33,46.3,134,12.3,330,6.5,1.5,昭54.1.24,－,－
徳島,71266,四,日和佐,ﾋﾜｻ,海部郡美波町日和佐浦,33,43.9,134,32.3,3,15.4,1.5,#昭51.2.14,－,－
徳島,71291,四,海陽,ｶｲﾖｳ,海部郡海陽町四方原字杉谷,33,36.7,134,21.3,5,10,1.5,平21.2.19,－,－
香川,72061,四,内海,ｳﾁﾉﾐ,小豆郡小豆島町西村甲,34,28.3,134,16.4,20,9.4,1.5,#昭53.1.10,－,－
香川,72086,官,高松,ﾀｶﾏﾂ,高松市伏石町　高松地方気象台,34,19.1,134,3.2,9,17.5,－,#昭50.4.1,72900,－
香川,72111,官,多度津,ﾀﾄﾞﾂ,仲多度郡多度津町家中　多度津特別地域気象観測所,34,16.5,133,45.1,4,12.1,－,#昭50.12.18,－,－
香川,72121,四,滝宮,ﾀｷﾉﾐﾔ,綾歌郡綾川町滝宮字山田,34,14.2,133,55.4,60,10,1.5,#昭53.1.11,－,－
香川,72146,四,引田,ﾋｹﾀ,東かがわ市南野,34,12.8,134,24.4,12,10,1.5,#昭53.1.12,－,－
香川,72161,四,財田,ｻｲﾀ,三豊市財田町財田上,34,7.2,133,46.3,65,9.3,1.5,昭53.1.11,－,－
愛媛,73001,四,大三島,ｵｵﾐｼﾏ,今治市大三島町宮浦地先,34,15,133,0.4,9,10,1.5,#昭53.1.19,－,－
愛媛,73076,四,今治,ｲﾏﾊﾞﾘ,今治市山路,34,3.2,132,58.5,27,10,1.5,(昭50.10.1)昭51.2.18,－,－
愛媛,73126,四,西条,ｻｲｼﾞｮｳ,西条市周布,33,54.9,133,4.8,4,10.2,1.5,(昭50.5.1)昭53.1.18,－,－
愛媛,73141,四,新居浜,ﾆｲﾊﾏ,新居浜市船木,33,56.2,133,20.3,90,10,1.5,平28.8.24,－,－
愛媛,73151,四,四国中央,ｼｺｸﾁｭｳｵｳ,四国中央市妻鳥町乙,33,58.9,133,34.9,75,10,1.5,#昭53.1.17,－,－
愛媛,73166,官,松山,ﾏﾂﾔﾏ,松山市北持田町　松山地方気象台,33,50.6,132,46.6,32,－,－,#昭50.4.1,73900,気温、雨
愛媛,73256,四,長浜,ﾅｶﾞﾊﾏ,大洲市長浜甲,33,37,132,28.8,4,6.9,1.5,#昭53.1.31,－,－
愛媛,73276,四,久万,ｸﾏ,上浮穴郡久万高原町入野,33,39.8,132,53.7,511,10,1.5,#昭53.1.20,－,－
愛媛,73306,四,大洲,ｵｵｽﾞ,大洲市阿蔵字フルカワ甲,33,30.5,132,32.1,20,10,1.5,(昭50.5.1)昭53.1.31,－,－
愛媛,73341,四,瀬戸,ｾﾄ,西宇和郡伊方町塩成,33,26.8,132,15.4,143,6.6,1.5,平9.8.8,－,－
愛媛,73406,四,宇和,ｳﾜ,西予市宇和町神領,33,22,132,30.2,200,10,1.5,(昭50.5.1)昭53.1.23,－,－
愛媛,73442,官,宇和島,ｳﾜｼﾞﾏ,宇和島市住吉町　宇和島特別地域気象観測所,33,13.6,132,33.1,2,33.2,－,平5.2.1,－,－
愛媛,73446,四,近永,ﾁｶﾅｶﾞ,北宇和郡鬼北町近永,33,15.2,132,40.5,129,8.1,1.5,昭54.1.17,－,－
愛媛,73516,四,御荘,ﾐｼｮｳ,南宇和郡愛南町御荘平城,32,57.8,132,34.2,12,10.1,1.5,#昭53.1.23,－,－
高知,74056,四,本川,ﾎﾝｶﾞﾜ,吾川郡いの町脇の山字根藤,33,45.9,133,20.3,550,10.4,1.5,昭54.1.18,－,－
高知,74071,四,本山,ﾓﾄﾔﾏ,長岡郡本山町本山,33,45.2,133,34.5,252,9.4,1.5,#昭53.1.1,－,－
高知,74136,四,大栃,ｵｵﾄﾞﾁ,香美市物部町大栃上西の川,33,41.9,133,52.5,210,6.5,1.5,昭52.12.20,－,－
高知,74181,官,高知,ｺｳﾁ,高知市比島町　高知地方気象台,33,34,133,32.9,1,15.5,－,#昭50.12.16,74900,－
高知,74187,四,後免,ｺﾞﾒﾝ,南国市廿枝,33,35.4,133,38.6,12,6.5,1.5,昭52.12.20,－,－
高知,74271,四,安芸,ｱｷ,安芸市伊尾木,33,29.3,133,56,6,6.5,1.5,#昭52.12.19,－,－
高知,74296,四,梼原,ﾕｽﾊﾗ,高岡郡梼原町川西路,33,23.4,132,55.3,415,6.5,1.5,(昭50.4.23)昭52.12.22,－,－
